,Player,Position,prediction
8702,Larry Nance Jr.,2,2
8743,Lauri Markkanen,1,1
8781,LeBron James,2,1
8796,Leandro Bolmaro,1,1
8856,Lindell Wigginton,0,1
8874,Lindy Waters III,1,1
8913,Lonnie Walker IV,1,1
8920,Lonzo Ball,0,1
8970,Lou Williams,0,0
8973,Louis King,1,1
9024,Luguentz Dort,1,1
9040,Luka Dončić,0,1
9041,Luka Garza,2,2
9062,Luke Kennard,1,1
9067,Luke Kornet,2,2
9118,Mac McClung,1,1
9146,Malachi Flynn,0,0
9155,Malcolm Brogdon,0,1
9158,Malcolm Hill,1,1
9179,Malik Beasley,1,1
9186,Malik Monk,1,1
9188,Malik Newman,0,1
9211,Mamadi Diakite,2,2
9328,Marcus Garrett,1,1
9350,Marcus Morris,2,1
9359,Marcus Smart,0,0
9528,Markelle Fultz,0,0
9539,Markieff Morris,2,1
9549,Marko Simonovic,2,1
9551,Markus Howard,1,1
9567,Marquese Chriss,2,2
9613,Marvin Bagley III,2,2
9632,Mason Jones,1,1
9641,Mason Plumlee,2,2
9650,Matisse Thybulle,1,1
9730,Matt Thomas,1,1
9775,Maurice Harkless,1,1
9796,Max Strus,1,1
9801,Maxi Kleber,2,2
9818,Melvin Frazier,1,1
9853,Micah Potter,2,2
9985,Michael Porter Jr.,1,1
10045,Mikal Bridges,1,1
10087,Mike Conley,0,0
10190,Mike Muscala,2,2
10251,Miles Bridges,2,1
10252,Miles McBride,0,0
10307,Miye Oni,1,1
10311,Mo Bamba,2,2
10341,Monte Morris,0,0
10348,Montrezl Harrell,2,2
10382,Moritz Wagner,2,2
10415,Moses Moody,1,1
10416,Moses Wright,2,1
10434,Mychal Mulder,0,1
10442,Myles Powell,0,0
10449,Myles Turner,2,2
10451,Naji Marshall,1,1
10456,Nassir Little,1,2
10487,Nathan Knight,2,2
10491,Naz Reid,2,2
10512,Nemanja Bjelica,2,2
10540,Nerlens Noel,2,2
10599,Nickeil Alexander-Walker,1,1
10614,Nicolas Batum,2,1
10626,Nik Stauskas,1,1
10633,Nikola Jokić,2,2
10648,Nikola Vučević,2,2
10675,Norman Powell,1,1
10696,OG Anunoby,1,1
10698,Obi Toppin,2,2
10727,Olivier Sarr,2,2
10733,Omer Yurtseven,2,2
10765,Oshae Brissett,1,2
10812,Otto Porter Jr.,2,2
10835,P.J. Tucker,2,1
10838,P.J. Washington,2,1
10842,PJ Dozier,1,1
10853,Paris Bass,1,2
10859,Pascal Siakam,2,1
10869,Pat Connaughton,1,1
10896,Patrick Beverley,0,1
10933,Patrick Williams,2,1
10946,Patty Mills,1,1
10977,Paul George,2,1
10997,Paul Millsap,2,2
11038,Paul Reed,2,2
11045,Paul Watson,1,1
11052,Payton Pritchard,0,0
11105,Petr Cornelie,2,2
11145,Precious Achiuwa,2,2
11166,Quentin Grimes,1,1
11215,Quinndary Weatherspoon,1,2
11237,R.J. Hampton,1,1
11243,RJ Barrett,1,1
11244,RJ Nembhard Jr.,1,0
11300,Rajon Rondo,0,0
11449,Raul Neto,0,0
11489,Rayjon Tucker,1,0
11518,Reggie Bullock,1,1
11538,Reggie Jackson,1,0
11571,Reggie Perry,2,2
11679,Richaun Holmes,2,2
11784,Ricky Rubio,0,0
11813,Robert Covington,2,2
11870,Robert Williams,2,2
11872,Robert Woodard II,1,1
11882,Robin Lopez,2,2
11936,Rodney Hood,1,1
11952,Rodney McGruder,1,1
12019,Romeo Langford,1,1
12173,Royce O'Neale,1,1
12206,Rudy Gay,2,2
12210,Rudy Gobert,2,2
12215,Rui Hachimura,2,1
12241,Russell Westbrook,0,1
12288,Saben Lee,0,0
12290,Saddiq Bey,1,1
12335,Sam Merrill,1,1
12397,Sandro Mamukelashvili,2,1
12398,Santi Aldama,2,2
12497,Scottie Barnes,2,1
12597,Sekou Doumbouya,2,1
12603,Semi Ojeleye,2,1
12616,Serge Ibaka,2,2
12632,Seth Curry,1,1
12647,Shai Gilgeous-Alexander,0,1
12651,Shake Milton,1,1
12856,Skylar Mays,1,1
12910,Spencer Dinwiddie,1,0
12966,Stanley Johnson,2,1
12982,Stephen Curry,0,0
13021,Sterling Brown,1,1
13152,Steven Adams,2,2
13176,Svi Mykhailiuk,1,1
13197,T.J. McConnell,0,0
13224,Taj Gibson,2,2
13227,Talen Horton-Tucker,1,1
13255,Taurean Prince,2,1
13276,Terance Mann,1,1
13279,Terence Davis,1,1
13318,Terrence Ross,1,1
13393,Terry Rozier,1,1
13394,Terry Taylor,1,2
13441,Thaddeus Young,2,1
13444,Thanasis Antetokounmpo,1,2
13448,Theo Pinson,1,0
13457,Thomas Bryant,2,2
13482,Théo Maledon,0,1
13521,Tim Frazier,0,0
13530,Tim Hardaway Jr.,1,1
13598,Timothé Luwawu-Cabarrot,1,1
13615,Tobias Harris,2,2
13698,Tomáš Satoranský,0,0
13833,Tony Snell,1,1
13845,Torrey Craig,1,2
13882,Trae Young,0,0
13923,Tre Jones,0,0
13924,Tre Mann,0,1
13935,Trendon Watford,1,2
13937,Trent Forrest,0,0
13958,Trevelin Queen,1,1
13980,Trevor Ariza,1,1
14001,Trey Burke,0,0
14009,Trey Lyles,2,2
14010,Trey Murphy III,1,1
14018,Tristan Thompson,2,2
14023,Troy Brown Jr.,1,1
14058,Ty Jerome,1,0
14087,Tyler Herro,1,1
14117,Tyrese Haliburton,0,0
14119,Tyrese Maxey,0,1
14152,Tyrone Wallace,1,1
14192,Tyus Jones,0,0
14203,Udonis Haslem,2,2
14205,Usman Garuba,2,2
14252,Victor Oladipo,1,0
14324,Vit Krejci,1,1
14363,Vlatko Čančar,2,1
14484,Wayne Ellington,1,1
14489,Wayne Selden,1,1
14493,Wendell Carter Jr.,2,2
14496,Wenyen Gabriel,2,2
14501,Wes Iwundu,1,1
14531,Wesley Matthews,1,1
14552,Will Barton,1,1
14606,Willie Cauley-Stein,2,1
14629,Willy Hernangómez,2,2
14672,Xavier Moon,1,0
14678,Xavier Tillman Sr.,2,1
14704,Yuta Watanabe,1,1
14705,Yves Pons,1,1
14710,Zach Collins,2,2
14718,Zach LaVine,1,1
14736,Zavier Simpson,0,0
14751,Zeke Nnaji,2,2
14755,Ziaire Williams,1,1
